onet_code,title,term_hours
595,Arborist,6000
90380,Bridge Carpenter/Heavy Highway,4000
90415,Construction Carpenter,5000
90708,Construction Craft Concrete Laborer,2000
90699,Construction Craft Heavy / Highway Laborer,2000
90050,Construction Equipment Operator,6000
91055,Construction Specialist,4000
90885,Crane Mechanic,4500 - 5000
90949,Crane Operator,4000 - 6000
90966,Earthworks Laborer,2000
90046,Electrician,8000
91066,Fencing Installer,4000
91123,Firestopping Installer,2000
91124,Firestopping Technician,2000
91056,Foreman,4000
91014,Lead Logging Equipment Operator,6000
91125,Marine Carpenter - Heavy Civil,4000
90700,Solar Mechanical Installation Technician,2000
90884,Welder,6000
