college,program_name,credentials,link
CMCC,Building Construction Technology,"AAS Degree, Certificate",View Program
CMCC,HVAC/R Technology,"AAS Degree, Certificate",View Program
CMCC,Plumbing & Heating Technology,AAS Degree,View Program
EMCC,Building Construction,"AAS Degree, Certificate",View Program
EMCC,Plumbing,Certificate,View Program
EMCC,"Refrigeration, AC & Heating","AAS Degree, Certificate",View Program
KVCC,Plumbing & Heating,AAS Degree,View Program
KVCC,Plumbing,Certificate,View Program
NMCC,Building Construction Tech,"AAS Degree, Certificate",View Program
NMCC,Plumbing & Heating,"AAS Degree, Certificate",View Program
SMCC,Construction Technology,AAS Degree,View Program
WCCC,Heavy Equipment Operations,Certificate,View Program
WCCC,Heavy Equipment Maintenance,Certificate,View Program
YCCC,Industrial Welding Techniques,Short-term Training,View Program
Initiative,Construction/Engineering Focus,Best For,Link
Maine Construction Academy (MCA),"Immersion Programs: 4-week, tuition-free intensive training in high-demand trades. Includes hands-on skills and guaranteed job interviews.",Adults seeking immediate entry into the trades,MCA Immersion
Alfond Center: Trades Track,"Funding for short-term certifications in Carpentry, HVAC, Plumbing, and Welding. Covers 50%–100% of costs.",Current workers or career changers,Trades Training
Transfer ME (Pre-Engineering),Proactive transfer pathway for students with 30+ credits to move from MCCS to University of Maine Engineering programs.,"Aspiring Civil, Mechanical, or Electrical Engineers",Transfer ME Info
TREC Program,"Training for Residential Energy Contractors: Expands the pipeline for HVAC technicians and heat pump installers at CMCC, EMCC, WCCC, and NMCC.",HVAC and Energy Efficiency specialists,TREC Initiative
Maine Workforce Development Compact,"Grants up to $1,200 per employee for construction firms to train staff in safety, project management, or new technical skills.",Construction company owners/managers,Compact Details
Advanced Technology Centers,"Hands-on labs at SMCC (Brunswick) for Robotics, Hydraulics, and Electrical Simulation training.",Engineering technicians and automated builders,
