O*NET-SOC Code,11-3013.00,11-9021.00,11-9041.00,17-2051.00,17-2051.01,47-1011.00,47-2031.00,47-2071.00,47-2072.00,47-2073.00,47-2081.00,47-2111.00,47-2132.00,47-2151.00,47-2152.00,47-2171.00,47-2221.00,47-4021.00,47-4051.00,47-4061.00
11-3013.00,1.0000000000000004,0.6662437769518595,0.5093932078246027,0.26480781159922323,0.4017483429428971,0.5360419267430674,-0.07029481266688034,-0.41967374806809565,-0.49842594803604173,-0.5500420856725976,-0.5638088012003057,-0.1558030163209913,-0.05154558026867351,-0.21218760321244196,-0.3272566353122586,-0.523666016803972,-0.5505771581474443,-0.08475970091433326,-0.20315749736193076,-0.4047504660268712
11-9021.00,0.6662437769518595,1.0000000000000007,0.7446138583091343,0.5772536019493402,0.6388264664137974,0.4865330389480776,0.1017381548549433,-0.7122793681044183,-0.704004266802877,-0.6395450468110485,-0.6678477208277293,-0.028195228468140276,-0.19604541629198163,-0.606941836141268,-0.3162033661868198,-0.7409369224412891,-0.4263434435368591,-0.1693361094822869,-0.4417602855461358,-0.44012839606039533
11-9041.00,0.5093932078246027,0.7446138583091343,0.9999999999999999,0.7797741748737993,0.819898567175437,0.4102784657465029,-0.16124607084115256,-0.6394979895935914,-0.7117123007507474,-0.5455517661042876,-0.5491448193751811,-0.0776153820160545,-0.29294794816544156,-0.5160696109302637,-0.4106231989782576,-0.6598194858348073,-0.5803266412859125,-0.1631118289109158,-0.6026654460236985,-0.6860375591119077
17-2051.00,0.26480781159922323,0.5772536019493402,0.7797741748737993,0.9999999999999994,0.885993490500923,0.2785585010999589,-0.1772379821923871,-0.6173003648399432,-0.6036503318374088,-0.4063579056151074,-0.43102757132707475,-0.06189731587544952,-0.38507988190407444,-0.559874312531055,-0.3018285821247663,-0.5399282725894352,-0.4931219937138144,-0.2968856665938071,-0.5901764845545145,-0.6268145343523599
17-2051.01,0.4017483429428971,0.6388264664137974,0.819898567175437,0.885993490500923,1.0000000000000002,0.2824242635401471,-0.1670172185384658,-0.6430037641788773,-0.6251294095446038,-0.5199436436115568,-0.5268725282397068,-0.08572258516311826,-0.33432292251604373,-0.49819421734869435,-0.3743719083910198,-0.5841708463639884,-0.5778658193337187,-0.2544221523927252,-0.5624514840693686,-0.6599543461323082
47-1011.00,0.5360419267430674,0.4865330389480776,0.4102784657465029,0.2785585010999589,0.2824242635401471,1.0,-0.10234580452464986,-0.49498879911471005,-0.35665141621688445,-0.3802838563700405,-0.39095243563543725,0.061856678422841975,-0.09160655302753018,-0.3971917806029576,-0.32532667203313126,-0.40476127233797754,-0.15306257226934683,-0.18159032342996637,-0.28221297818710783,-0.40510662440584083
47-2031.00,-0.07029481266688034,0.1017381548549433,-0.16124607084115256,-0.1772379821923871,-0.1670172185384658,-0.10234580452464986,1.0000000000000004,-0.11088398786686036,-0.07532959989575734,-0.20176514017466177,-0.04245565767237886,0.14963680051138126,-0.029582601665004187,-0.16675005735983384,0.4503083177838211,0.03810748899869466,0.22261182018574843,0.1155743600657252,-0.09127433459891994,0.12215854572699437
47-2071.00,-0.41967374806809565,-0.7122793681044183,-0.6394979895935914,-0.6173003648399432,-0.6430037641788773,-0.49498879911471005,-0.11088398786686036,0.9999999999999996,0.6420548498391864,0.5375263050407143,0.42359644593313206,-0.20349558043744534,0.13765220650079557,0.6256155559280296,0.23217186427814324,0.549505148759757,0.23236108411566794,0.09516414183383701,0.4929877526198412,0.5069120595540773
47-2072.00,-0.49842594803604173,-0.704004266802877,-0.7117123007507474,-0.6036503318374088,-0.6251294095446038,-0.35665141621688445,-0.07532959989575734,0.6420548498391864,0.9999999999999994,0.5022234326581728,0.3914054746952644,-0.14690251226752368,0.18190595638427867,0.44190690559644846,0.1218533160112649,0.4917696252469234,0.4277498148972919,0.04684988272035322,0.5686599249763277,0.569962470059682
47-2073.00,-0.5500420856725976,-0.6395450468110485,-0.5455517661042876,-0.4063579056151074,-0.5199436436115568,-0.3802838563700405,-0.20176514017466177,0.5375263050407143,0.5022234326581728,0.9999999999999999,0.2875572946001096,0.07100897465526924,-0.0869762815747657,0.2732516718158653,0.14518581343734488,0.3093855970981636,0.43736027068371336,0.038363510579343764,0.4735849947270549,0.49824794455297783
47-2081.00,-0.5638088012003057,-0.6678477208277293,-0.5491448193751811,-0.43102757132707475,-0.5268725282397068,-0.39095243563543725,-0.04245565767237886,0.42359644593313206,0.3914054746952644,0.2875572946001096,0.9999999999999994,-0.0989719015732099,0.441792873011582,0.5708058465184648,0.17566679305429114,0.7659432568818444,0.3171967506054872,-0.09791306480315908,0.18238932755447204,0.1568242385873178
47-2111.00,-0.1558030163209913,-0.028195228468140276,-0.0776153820160545,-0.06189731587544952,-0.08572258516311826,0.061856678422841975,0.14963680051138126,-0.20349558043744534,-0.14690251226752368,0.07100897465526924,-0.0989719015732099,0.9999999999999998,-0.3822868710170879,-0.33225630850497967,0.21231995259734443,-0.06472124578238415,0.33542979549367324,0.3050187785209967,-0.23654755817846312,0.06944327155334191
47-2132.00,-0.05154558026867351,-0.19604541629198163,-0.29294794816544156,-0.38507988190407444,-0.33432292251604373,-0.09160655302753018,-0.029582601665004187,0.13765220650079557,0.18190595638427867,-0.0869762815747657,0.441792873011582,-0.3822868710170879,0.9999999999999997,0.380523594870104,0.05952785402033753,0.37772658461159686,-0.08090381122516407,-0.0459046140298327,0.2048969053471695,0.0289439386844063
47-2151.00,-0.21218760321244196,-0.606941836141268,-0.5160696109302637,-0.559874312531055,-0.49819421734869435,-0.3971917806029576,-0.16675005735983384,0.6256155559280296,0.44190690559644846,0.2732516718158653,0.5708058465184648,-0.33225630850497967,0.380523594870104,0.9999999999999991,0.057634723626622045,0.5063922998102118,-0.017055295516910624,0.1142353703330451,0.3704994130595803,0.26943953350932204
47-2152.00,-0.3272566353122586,-0.3162033661868198,-0.4106231989782576,-0.3018285821247663,-0.3743719083910198,-0.32532667203313126,0.4503083177838211,0.23217186427814324,0.1218533160112649,0.14518581343734488,0.17566679305429114,0.21231995259734443,0.05952785402033753,0.057634723626622045,1.0000000000000007,0.23340212914474423,0.2521717475133474,0.37426777295623465,-0.09960961332602834,0.2131971368859357
47-2171.00,-0.523666016803972,-0.7409369224412891,-0.6598194858348073,-0.5399282725894352,-0.5841708463639884,-0.40476127233797754,0.03810748899869466,0.549505148759757,0.4917696252469234,0.3093855970981636,0.7659432568818444,-0.06472124578238415,0.37772658461159686,0.5063922998102118,0.23340212914474423,1.0000000000000004,0.4089720310368178,-0.1250464589314346,0.2951723351636269,0.2487326598140317
47-2221.00,-0.5505771581474443,-0.4263434435368591,-0.5803266412859125,-0.4931219937138144,-0.5778658193337187,-0.15306257226934683,0.22261182018574843,0.23236108411566794,0.4277498148972919,0.43736027068371336,0.3171967506054872,0.33542979549367324,-0.08090381122516407,-0.017055295516910624,0.2521717475133474,0.4089720310368178,0.9999999999999998,-0.029974395599889642,0.2788310827971218,0.4320268862087669
47-4021.00,-0.08475970091433326,-0.1693361094822869,-0.1631118289109158,-0.2968856665938071,-0.2544221523927252,-0.18159032342996637,0.1155743600657252,0.09516414183383701,0.04684988272035322,0.038363510579343764,-0.09791306480315908,0.3050187785209967,-0.0459046140298327,0.1142353703330451,0.37426777295623465,-0.1250464589314346,-0.029974395599889642,0.9999999999999989,0.031317676953951115,0.23896059929018548
47-4051.00,-0.20315749736193076,-0.4417602855461358,-0.6026654460236985,-0.5901764845545145,-0.5624514840693686,-0.28221297818710783,-0.09127433459891994,0.4929877526198412,0.5686599249763277,0.4735849947270549,0.18238932755447204,-0.23654755817846312,0.2048969053471695,0.3704994130595803,-0.09960961332602834,0.2951723351636269,0.2788310827971218,0.031317676953951115,0.9999999999999998,0.6312854410389651
47-4061.00,-0.4047504660268712,-0.44012839606039533,-0.6860375591119077,-0.6268145343523599,-0.6599543461323082,-0.40510662440584083,0.12215854572699437,0.5069120595540773,0.569962470059682,0.49824794455297783,0.1568242385873178,0.06944327155334191,0.0289439386844063,0.26943953350932204,0.2131971368859357,0.2487326598140317,0.4320268862087669,0.23896059929018548,0.6312854410389651,1.0000000000000004
