O*NET-SOC Code,Title,skill_Active Learning,skill_Active Listening,skill_Complex Problem Solving,skill_Coordination,skill_Critical Thinking,skill_Equipment Maintenance,skill_Equipment Selection,skill_Installation,skill_Instructing,skill_Judgment and Decision Making,skill_Learning Strategies,skill_Management of Financial Resources,skill_Management of Material Resources,skill_Management of Personnel Resources,skill_Mathematics,skill_Monitoring,skill_Negotiation,skill_Operation and Control,skill_Operations Analysis,skill_Operations Monitoring,skill_Persuasion,skill_Programming,skill_Quality Control Analysis,skill_Reading Comprehension,skill_Repairing,skill_Science,skill_Service Orientation,skill_Social Perceptiveness,skill_Speaking,skill_Systems Analysis,skill_Systems Evaluation,skill_Technology Design,skill_Time Management,skill_Troubleshooting,skill_Writing,knowledge_Administration and Management,knowledge_Administrative,knowledge_Biology,knowledge_Building and Construction,knowledge_Chemistry,knowledge_Communications and Media,knowledge_Computers and Electronics,knowledge_Customer and Personal Service,knowledge_Design,knowledge_Economics and Accounting,knowledge_Education and Training,knowledge_Engineering and Technology,knowledge_English Language,knowledge_Fine Arts,knowledge_Food Production,knowledge_Foreign Language,knowledge_Geography,knowledge_History and Archeology,knowledge_Law and Government,knowledge_Mathematics,knowledge_Mechanical,knowledge_Medicine and Dentistry,knowledge_Personnel and Human Resources,knowledge_Philosophy and Theology,knowledge_Physics,knowledge_Production and Processing,knowledge_Psychology,knowledge_Public Safety and Security,knowledge_Sales and Marketing,knowledge_Sociology and Anthropology,knowledge_Telecommunications,knowledge_Therapy and Counseling,knowledge_Transportation,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression
11-3013.00,Facilities Managers,3.12,3.75,3.38,3.62,3.75,2.38,2.25,1.12,3.25,3.5,3.0,2.5,2.75,3.5,2.75,3.75,3.0,2.25,1.88,2.88,3.12,1.62,2.88,3.75,2.25,1.5,3.0,3.62,3.88,3.0,3.0,1.62,3.38,2.62,3.25,4.21,3.31,2.11,3.32,2.77,2.63,3.25,4.37,2.39,2.9,3.27,3.05,3.77,1.26,1.52,1.74,2.28,1.44,2.75,3.11,3.36,1.98,3.41,1.68,2.47,2.64,3.29,3.47,2.22,2.46,2.75,2.67,2.99,2.62,2.38,3.12,2.38,3.62,2.38,1.25,1.88,1.88,2.25,3.12,2.38,2.88,2.88,1.75,1.88,1.88,2.12,3.62,3.75,2.5,2.75,2.5,2.12,3.5,1.75,2.62,3.75,3.75,2.75,2.75,2.12,3.75,1.88,2.0,2.0,2.88,1.75,2.5,3.5,3.62,2.5,1.12,2.12,2.0,2.62,2.62,2.38,2.62,2.12,3.75,3.62
11-9021.00,Construction Managers,3.88,4.0,4.0,4.0,4.0,1.62,1.62,1.0,3.12,4.12,3.12,3.62,3.38,4.12,3.5,3.88,3.88,2.0,3.0,2.75,3.12,1.5,3.25,3.88,1.62,2.12,3.12,3.5,3.88,3.62,3.5,1.75,4.0,2.25,3.75,4.25,3.45,2.0,4.7,2.45,2.9,3.4,3.9,3.7,3.75,3.4,3.95,3.7,1.55,1.55,2.25,2.3,1.7,3.15,4.0,3.8,1.75,3.7,1.65,2.9,3.79,2.8,3.75,3.05,2.1,2.9,2.0,2.55,2.25,2.88,3.75,2.38,4.0,2.38,1.0,1.88,1.62,2.12,3.62,1.88,3.62,3.38,2.0,2.0,2.12,2.12,3.88,4.0,1.75,3.5,2.75,2.0,3.88,1.5,3.25,4.0,4.0,3.12,3.0,1.62,4.12,1.62,2.0,1.5,3.38,1.5,2.12,3.88,3.75,3.12,1.12,2.0,2.12,3.0,2.75,3.0,3.88,1.75,4.0,3.88
11-9041.00,Architectural and Engineering Managers,3.88,4.0,4.0,3.75,3.88,1.12,1.0,1.0,3.25,3.88,3.25,2.88,2.88,3.25,3.88,3.75,3.12,1.5,2.38,2.5,3.12,1.88,3.0,4.12,1.0,2.62,3.25,3.5,4.0,3.12,3.0,1.88,3.88,2.0,4.0,3.89,3.16,1.58,3.02,2.39,2.36,3.38,3.82,4.32,2.85,2.4,4.29,3.87,1.85,1.03,1.68,2.27,1.57,2.94,3.92,3.66,1.52,2.77,1.61,3.18,3.21,1.86,3.06,2.82,1.66,2.39,1.3,2.53,2.0,2.0,3.25,2.0,3.88,2.0,1.0,1.0,1.0,1.0,3.25,2.12,3.12,3.75,1.0,1.0,1.0,1.88,3.88,3.75,2.0,3.88,2.75,1.62,3.75,1.0,3.38,4.12,4.12,3.62,2.88,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.38,4.0,3.75,2.88,1.0,1.0,1.0,2.5,1.5,3.0,3.75,1.25,4.25,3.88
17-2051.00,Civil Engineers,3.25,4.0,3.88,3.12,3.88,1.5,1.25,1.0,3.0,3.38,2.88,2.88,2.88,3.0,3.88,3.25,3.0,1.38,3.62,2.12,3.0,1.88,2.25,3.88,1.62,3.75,3.0,3.0,3.88,3.75,3.12,2.25,3.75,1.5,3.25,3.62,2.71,1.52,4.53,2.29,2.0,3.14,3.43,4.7,2.81,2.4,4.67,4.0,1.0,1.14,1.52,2.57,1.57,3.24,4.48,2.52,1.14,2.55,1.38,3.71,2.1,1.71,3.24,2.86,1.48,1.52,1.14,3.05,1.0,2.62,3.75,1.62,4.0,2.5,1.0,1.0,1.0,1.0,3.62,2.12,3.62,3.75,1.25,1.0,1.0,2.5,4.0,3.88,1.0,3.88,2.62,1.5,3.75,1.0,3.75,4.0,4.0,3.25,3.62,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.88,3.62,3.62,2.88,1.0,1.0,1.0,2.62,1.5,2.62,3.75,1.38,4.0,4.0
17-2051.01,Transportation Engineers,3.25,3.75,3.88,3.62,4.0,1.0,1.0,1.0,3.0,3.88,3.12,2.75,2.88,3.25,3.88,3.25,3.12,2.0,3.38,2.0,3.12,1.88,2.62,4.0,1.0,3.0,3.0,2.88,4.0,3.75,3.75,2.75,3.88,2.0,4.0,3.5,2.55,1.91,4.23,2.29,2.86,3.45,3.5,4.77,2.68,3.0,4.9,3.73,1.09,1.09,1.18,2.77,1.82,3.38,4.18,2.5,1.14,2.24,1.5,3.68,2.68,2.18,3.32,2.45,1.77,2.05,1.32,4.55,1.38,2.12,4.0,1.5,4.0,2.0,1.0,1.0,1.0,1.0,3.25,1.75,3.12,3.75,1.0,1.0,1.0,2.0,4.0,3.88,1.5,3.88,2.75,1.38,3.75,1.0,3.88,4.0,4.0,3.25,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.62,3.62,3.75,2.75,1.0,1.0,1.0,2.5,1.88,2.62,3.75,1.75,4.0,4.0
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3.0,3.75,3.12,3.88,3.62,2.0,2.88,1.0,3.0,3.25,3.12,2.0,2.12,3.62,2.75,3.38,3.0,2.88,2.5,2.88,3.0,1.25,3.0,3.38,2.0,1.62,2.88,3.12,3.75,2.88,2.88,1.5,3.38,2.12,3.0,4.1,2.75,1.64,4.1,2.01,1.96,2.23,3.73,3.45,2.38,2.82,3.14,3.72,1.02,1.09,1.37,2.41,1.31,2.62,3.3,3.97,1.86,3.04,1.24,2.7,2.84,2.83,3.38,2.53,1.69,2.08,1.91,2.32,2.88,2.75,3.0,3.0,3.38,2.38,1.12,2.0,1.75,2.12,3.12,3.0,2.88,3.0,2.0,1.88,2.0,2.62,3.25,3.62,3.12,3.0,2.12,2.88,3.62,1.75,2.88,4.0,3.75,2.88,3.0,2.12,3.75,2.0,2.25,2.0,3.12,1.88,2.25,3.25,3.12,2.12,1.75,2.12,2.25,3.0,2.5,2.75,3.0,1.88,3.25,3.12
47-2031.00,Carpenters,3.0,3.38,3.0,3.25,3.38,2.25,2.75,2.25,2.62,3.0,2.75,1.88,2.38,2.62,3.0,3.38,2.5,2.88,1.75,2.88,2.5,1.5,3.12,3.12,2.38,1.38,2.75,2.75,3.12,2.5,2.62,1.75,3.0,2.38,2.88,3.91,2.52,1.37,4.66,2.19,2.05,2.54,3.08,3.86,2.33,3.23,3.6,2.93,1.3,1.48,1.75,1.89,1.46,2.09,3.91,3.3,1.65,2.53,1.6,3.05,2.9,2.03,3.48,2.21,1.63,2.22,1.59,2.7,3.5,2.88,3.12,3.12,3.5,2.75,1.62,2.88,3.0,2.75,3.38,3.62,3.0,2.62,1.88,2.38,2.75,2.62,3.25,3.5,3.62,2.88,2.5,3.38,3.62,1.75,2.75,3.38,3.38,2.88,3.0,2.12,3.88,2.62,3.12,2.75,3.12,1.88,2.62,3.0,3.0,2.5,1.75,2.62,3.38,2.75,3.5,2.62,3.88,2.75,3.0,2.75
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2.62,2.88,2.62,3.0,3.0,2.88,2.5,1.62,2.0,2.88,2.25,1.5,1.5,1.88,2.0,3.25,1.88,3.38,1.5,3.62,1.88,1.0,2.75,2.5,3.0,1.12,2.0,2.5,2.88,2.12,2.12,1.62,2.75,3.0,1.88,2.43,1.69,1.77,3.65,2.49,1.82,1.91,2.73,2.43,1.54,2.27,2.26,2.37,1.54,1.4,1.73,2.2,1.63,2.41,2.77,3.26,1.49,1.85,1.4,2.74,2.18,1.93,2.74,1.67,1.55,1.54,1.67,2.06,3.0,2.62,2.75,3.75,3.0,3.0,1.75,2.38,1.88,3.0,3.12,2.88,2.5,1.75,2.12,2.62,2.12,2.75,2.75,3.0,3.0,2.0,2.0,3.38,2.88,1.75,2.0,3.0,3.0,1.88,2.75,2.25,3.62,3.25,3.25,3.0,3.0,1.88,2.88,3.0,3.0,2.0,2.12,2.75,3.12,2.88,3.12,2.38,3.0,2.25,2.38,1.88
47-2072.00,Pile Driver Operators,2.0,3.0,2.75,3.0,2.88,3.25,2.12,1.0,2.12,2.75,1.88,1.5,1.75,1.88,2.12,3.25,1.88,4.12,1.12,4.0,1.88,1.0,2.88,2.5,2.75,1.38,2.0,2.5,2.75,2.0,2.0,1.5,2.88,3.12,2.25,2.93,2.34,1.29,4.12,2.09,1.91,1.79,2.79,3.15,1.91,2.58,3.41,2.82,1.04,1.08,1.2,2.26,1.12,2.13,3.59,3.65,1.53,1.93,1.11,2.73,2.95,2.12,3.4,1.67,1.71,1.6,1.55,3.47,3.25,3.0,2.62,4.12,3.12,4.0,1.25,2.75,1.5,2.75,3.12,3.0,2.38,2.0,2.88,2.75,2.38,2.75,3.0,3.0,3.62,2.12,1.88,4.0,3.0,1.75,2.12,3.0,3.0,1.88,2.88,2.62,3.5,3.5,3.88,3.38,3.25,2.0,3.0,2.88,3.12,2.0,2.25,2.25,2.75,2.75,2.62,2.12,3.12,2.62,2.25,2.0
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2.88,3.0,2.88,2.88,2.88,3.25,2.38,1.38,2.38,2.88,2.12,1.75,1.88,2.12,2.0,3.12,2.0,4.12,1.75,3.25,2.25,1.12,2.88,2.88,2.88,1.5,2.25,2.75,2.88,2.0,2.0,1.75,3.0,3.0,2.0,2.78,1.28,1.53,2.46,1.59,1.69,1.42,2.73,2.24,1.5,2.59,2.35,3.33,1.0,1.66,1.2,1.76,1.66,2.16,2.81,3.56,1.05,1.96,1.35,1.69,2.02,1.12,3.13,1.53,1.04,1.41,1.04,2.54,3.25,3.0,2.88,4.12,3.0,4.0,1.0,2.12,1.75,2.88,3.62,3.0,2.75,2.25,2.25,2.0,2.0,3.0,3.0,3.0,3.12,2.12,2.12,3.88,3.88,2.12,2.0,3.12,3.0,2.12,3.12,2.38,3.25,3.5,3.38,3.25,3.0,2.12,2.88,3.0,3.0,2.12,1.88,2.12,3.0,3.0,2.75,3.0,3.12,2.0,2.88,2.25
