onet_code,title,description,tasks,work_activities,technology,full_text
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","Monitor the facility to ensure that it remains safe, secure, and well-maintained.; Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.; Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.; Plan, administer, and control budgets for contracts, equipment, and supplies.; Participate in architectural and engineering planning and design, including space and installation management.","Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Getting Information, Identifying Objects, Actions, and Events, Organizing, Planning, and Prioritizing Work","Enterprise resource planning ERP software, Microsoft Dynamics, Oracle PeopleSoft, Sage MAS 200 ERP, SAP software, Word processing software, Google Docs, Microsoft Word, Electronic mail software, Email software, IBM Notes, MicroFocus GroupWise, Microsoft Outlook, Data base user interface and query software, FileMaker Pro, Microsoft Access, Sage 300 Construction and Real Estate, Yardi software, Accounting software, Fund accounting software, Intuit QuickBooks, Sage 50 Accounting","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus. Key tasks: Monitor the facility to ensure that it remains safe, secure, and well-maintained.. Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.. Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.. Plan, administer, and control budgets for contracts, equipment, and supplies.. Participate in architectural and engineering planning and design, including space and installation management. Work activities: Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Getting Information, Identifying Objects, Actions, and Events, Organizing, Planning, and Prioritizing Work Technology: Enterprise resource planning ERP software, Microsoft Dynamics, Oracle PeopleSoft, Sage MAS 200 ERP, SAP software, Word processing software, Google Docs, Microsoft Word, Electronic mail software, Email software, IBM Notes, MicroFocus GroupWise, Microsoft Outlook, Data base user interface and query software, FileMaker Pro, Microsoft Access, Sage 300 Construction and Real Estate, Yardi software, Accounting software, Fund accounting software, Intuit QuickBooks, Sage 50 Accounting"
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","Inspect or review projects to monitor compliance with building and safety codes or other regulations.; Develop or implement quality control programs.; Plan, schedule, or coordinate construction project activities to meet deadlines.; Prepare and submit budget estimates, progress reports, or cost tracking reports.; Direct and supervise construction or related workers.","Communicating with Supervisors, Peers, or Subordinates, Evaluating Information to Determine Compliance with Standards, Inspecting Equipment, Structures, or Materials, Monitoring Processes, Materials, or Surroundings, Organizing, Planning, and Prioritizing Work","Data base user interface and query software, Database software, ISS Construction Manager, UDA Technologies ConstructionSuite, Yardi software, Word processing software, 3M Post-it App, Google Docs, Microsoft Word, Project management software, HCSS HeavyBid, HCSS HeavyJob, Oracle Primavera Enterprise Project Portfolio Management, Quantum Software Solutions Quantum Project Manager, Document management software, Adobe Acrobat, Axios Systems assyst, Microsoft SharePoint, Site Manager, Computer aided design CAD software, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Computer aided design and drafting software CADD","Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing. Key tasks: Inspect or review projects to monitor compliance with building and safety codes or other regulations.. Develop or implement quality control programs.. Plan, schedule, or coordinate construction project activities to meet deadlines.. Prepare and submit budget estimates, progress reports, or cost tracking reports.. Direct and supervise construction or related workers. Work activities: Communicating with Supervisors, Peers, or Subordinates, Evaluating Information to Determine Compliance with Standards, Inspecting Equipment, Structures, or Materials, Monitoring Processes, Materials, or Surroundings, Organizing, Planning, and Prioritizing Work Technology: Data base user interface and query software, Database software, ISS Construction Manager, UDA Technologies ConstructionSuite, Yardi software, Word processing software, 3M Post-it App, Google Docs, Microsoft Word, Project management software, HCSS HeavyBid, HCSS HeavyJob, Oracle Primavera Enterprise Project Portfolio Management, Quantum Software Solutions Quantum Project Manager, Document management software, Adobe Acrobat, Axios Systems assyst, Microsoft SharePoint, Site Manager, Computer aided design CAD software, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Computer aided design and drafting software CADD"
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","Manage the coordination and overall integration of technical activities in architecture or engineering projects.; Direct, review, or approve project design changes.; Consult or negotiate with clients to prepare project specifications.; Prepare budgets, bids, or contracts.; Present and explain proposals, reports, or findings to clients.","Getting Information, Communicating with Supervisors, Peers, or Subordinates, Coordinating the Work and Activities of Others, Working with Computers, Evaluating Information to Determine Compliance with Standards","Data base management system software, Amazon DynamoDB, Apache Hive, Elasticsearch, MongoDB, Presentation software, Microsoft PowerPoint, Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, Dassault Systemes SolidWorks, Object or component oriented development software, C#, Perl, Scala, Swift, Development environment software, Apache Kafka, Apache Maven, Go, Ruby","Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Key tasks: Manage the coordination and overall integration of technical activities in architecture or engineering projects.. Direct, review, or approve project design changes.. Consult or negotiate with clients to prepare project specifications.. Prepare budgets, bids, or contracts.. Present and explain proposals, reports, or findings to clients. Work activities: Getting Information, Communicating with Supervisors, Peers, or Subordinates, Coordinating the Work and Activities of Others, Working with Computers, Evaluating Information to Determine Compliance with Standards Technology: Data base management system software, Amazon DynamoDB, Apache Hive, Elasticsearch, MongoDB, Presentation software, Microsoft PowerPoint, Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, Dassault Systemes SolidWorks, Object or component oriented development software, C#, Perl, Scala, Swift, Development environment software, Apache Kafka, Apache Maven, Go, Ruby"
17-2051.00,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.","Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.; Manage and direct the construction, operations, or maintenance activities at project site.; Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.; Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications.; Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools.","Getting Information, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment, Evaluating Information to Determine Compliance with Standards","Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, Dassault Systemes SolidWorks, Presentation software, Microsoft PowerPoint, Analytical or scientific software, HEC-HMS, Minitab, Procore software, The MathWorks MATLAB, Development environment software, C, Microsoft Visual Basic, National Instruments LabVIEW, Verilog, Geographic information system, ESRI ArcGIS software, ESRI ArcInfo, ESRI ArcView, Geographic information system GIS software","Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems. Key tasks: Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.. Manage and direct the construction, operations, or maintenance activities at project site.. Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.. Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications.. Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools. Work activities: Getting Information, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment, Evaluating Information to Determine Compliance with Standards Technology: Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, Dassault Systemes SolidWorks, Presentation software, Microsoft PowerPoint, Analytical or scientific software, HEC-HMS, Minitab, Procore software, The MathWorks MATLAB, Development environment software, C, Microsoft Visual Basic, National Instruments LabVIEW, Verilog, Geographic information system, ESRI ArcGIS software, ESRI ArcInfo, ESRI ArcView, Geographic information system GIS software"
17-2051.01,Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.","Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.; Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.; Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.; Plan alteration or modification of existing transportation structures to improve safety or function.; Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.","Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Working with Computers, Evaluating Information to Determine Compliance with Standards, Getting Information","Computer aided design CAD software, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Bentley MicroStation, Computer aided design and drafting software CADD, Presentation software, Microsoft PowerPoint, Analytical or scientific software, Citilabs Cube, McTrans Center TSIS-CORSIM, SIDRA INTERSECTION, Trafficware SynchroGreen, Project management software, Microsoft Project, Oracle Primavera Enterprise Project Portfolio Management, Spreadsheet software, Microsoft Excel","Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow. Key tasks: Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.. Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.. Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.. Plan alteration or modification of existing transportation structures to improve safety or function.. Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules. Work activities: Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Working with Computers, Evaluating Information to Determine Compliance with Standards, Getting Information Technology: Computer aided design CAD software, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Bentley MicroStation, Computer aided design and drafting software CADD, Presentation software, Microsoft PowerPoint, Analytical or scientific software, Citilabs Cube, McTrans Center TSIS-CORSIM, SIDRA INTERSECTION, Trafficware SynchroGreen, Project management software, Microsoft Project, Oracle Primavera Enterprise Project Portfolio Management, Spreadsheet software, Microsoft Excel"
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Directly supervise and coordinate activities of construction or extraction workers.,"Inspect work progress, equipment, or construction sites to verify safety or to ensure that specifications are met.; Read specifications, such as blueprints, to determine construction requirements or to plan procedures.; Supervise, coordinate, or schedule the activities of construction or extractive workers.; Assign work to employees, based on material or worker requirements of specific jobs.; Coordinate work activities with other construction project activities.","Communicating with Supervisors, Peers, or Subordinates, Making Decisions and Solving Problems, Inspecting Equipment, Structures, or Materials, Getting Information, Coordinating the Work and Activities of Others","Project management software, Microsoft Project, Oracle Primavera Enterprise Project Portfolio Management, Oracle Primavera P6 Enterprise Portfolio Project Management, Oracle Primavera Systems, Presentation software, Microsoft PowerPoint, Data base user interface and query software, Mi-Co Mi-Forms, QuickBase business management software, Sage 300 Construction and Real Estate, Calendar and scheduling software, FranklinCovey TabletPlanner, Scheduling software, Spreadsheet software, Microsoft Excel","Directly supervise and coordinate activities of construction or extraction workers. Key tasks: Inspect work progress, equipment, or construction sites to verify safety or to ensure that specifications are met.. Read specifications, such as blueprints, to determine construction requirements or to plan procedures.. Supervise, coordinate, or schedule the activities of construction or extractive workers.. Assign work to employees, based on material or worker requirements of specific jobs.. Coordinate work activities with other construction project activities. Work activities: Communicating with Supervisors, Peers, or Subordinates, Making Decisions and Solving Problems, Inspecting Equipment, Structures, or Materials, Getting Information, Coordinating the Work and Activities of Others Technology: Project management software, Microsoft Project, Oracle Primavera Enterprise Project Portfolio Management, Oracle Primavera P6 Enterprise Portfolio Project Management, Oracle Primavera Systems, Presentation software, Microsoft PowerPoint, Data base user interface and query software, Mi-Co Mi-Forms, QuickBase business management software, Sage 300 Construction and Real Estate, Calendar and scheduling software, FranklinCovey TabletPlanner, Scheduling software, Spreadsheet software, Microsoft Excel"
47-2031.00,Carpenters,"Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.","Follow established safety rules and regulations and maintain a safe and clean environment.; Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.; Assemble and fasten materials to make frameworks or props, using hand tools and wood screws, nails, dowel pins, or glue.; Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.; Shape or cut materials to specified measurements, using hand tools, machines, or power saws.","Identifying Objects, Actions, and Events, Getting Information, Inspecting Equipment, Structures, or Materials, Monitoring Processes, Materials, or Surroundings, Handling and Moving Objects","Accounting software, Intuit QuickBooks, Job costing software, Quicken, Project management software, Bosch Punch List, Estimating software, Turtle Creek Software Goldenseal, VirtualBoss, Word processing software, Microsoft Word, Wilhelm Publishing Threshold, Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software","Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways. Key tasks: Follow established safety rules and regulations and maintain a safe and clean environment.. Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.. Assemble and fasten materials to make frameworks or props, using hand tools and wood screws, nails, dowel pins, or glue.. Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.. Shape or cut materials to specified measurements, using hand tools, machines, or power saws. Work activities: Identifying Objects, Actions, and Events, Getting Information, Inspecting Equipment, Structures, or Materials, Monitoring Processes, Materials, or Surroundings, Handling and Moving Objects Technology: Accounting software, Intuit QuickBooks, Job costing software, Quicken, Project management software, Bosch Punch List, Estimating software, Turtle Creek Software Goldenseal, VirtualBoss, Word processing software, Microsoft Word, Wilhelm Publishing Threshold, Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software"
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators.","Start machine, engage clutch, and push and move levers to guide machine along forms or guidelines and to control the operation of machine attachments.; Fill tanks, hoppers, or machines with paving materials.; Control paving machines to push dump trucks and to maintain a constant flow of asphalt or other material into hoppers or screeds.; Observe distribution of paving material to adjust machine settings or material flow, and indicate low spots for workers to add material.; Coordinate truck dumping.","Controlling Machines and Processes, Inspecting Equipment, Structures, or Materials, Operating Vehicles, Mechanized Devices, or Equipment, Judging the Qualities of Objects, Services, or People, Performing General Physical Activities","Electronic mail software, Email software, Microsoft Outlook, Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Time accounting software, Time report software","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators. Key tasks: Start machine, engage clutch, and push and move levers to guide machine along forms or guidelines and to control the operation of machine attachments.. Fill tanks, hoppers, or machines with paving materials.. Control paving machines to push dump trucks and to maintain a constant flow of asphalt or other material into hoppers or screeds.. Observe distribution of paving material to adjust machine settings or material flow, and indicate low spots for workers to add material.. Coordinate truck dumping. Work activities: Controlling Machines and Processes, Inspecting Equipment, Structures, or Materials, Operating Vehicles, Mechanized Devices, or Equipment, Judging the Qualities of Objects, Services, or People, Performing General Physical Activities Technology: Electronic mail software, Email software, Microsoft Outlook, Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Computer aided design CAD software, Autodesk AutoCAD Civil 3D, Time accounting software, Time report software"
47-2072.00,Pile Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers.","Move hand and foot levers of hoisting equipment to position piling leads, hoist piling into leads, and position hammers over pilings.; Move levers and turn valves to activate power hammers, or to raise and lower drophammers that drive piles to required depths.; Drive pilings to provide support for buildings or other structures, using heavy equipment with a pile driver head.; Conduct pre-operational checks on equipment to ensure proper functioning.; Clean, lubricate, and refill equipment.","Controlling Machines and Processes, Operating Vehicles, Mechanized Devices, or Equipment, Inspecting Equipment, Structures, or Materials, Handling and Moving Objects, Repairing and Maintaining Mechanical Equipment","Spreadsheet software, Microsoft Excel, Analytical or scientific software, GRL Engineers Wave Equation Analysis Program GRLWEAP, Pile Dynamics Case Pile Wave Analysis Program CAPWAP, Pile Dynamics Pile Driving Analyzer PDA, Electronic mail software, Email software, Mobile location based services software, Global positioning system GPS software","Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers. Key tasks: Move hand and foot levers of hoisting equipment to position piling leads, hoist piling into leads, and position hammers over pilings.. Move levers and turn valves to activate power hammers, or to raise and lower drophammers that drive piles to required depths.. Drive pilings to provide support for buildings or other structures, using heavy equipment with a pile driver head.. Conduct pre-operational checks on equipment to ensure proper functioning.. Clean, lubricate, and refill equipment. Work activities: Controlling Machines and Processes, Operating Vehicles, Mechanized Devices, or Equipment, Inspecting Equipment, Structures, or Materials, Handling and Moving Objects, Repairing and Maintaining Mechanical Equipment Technology: Spreadsheet software, Microsoft Excel, Analytical or scientific software, GRL Engineers Wave Equation Analysis Program GRLWEAP, Pile Dynamics Case Pile Wave Analysis Program CAPWAP, Pile Dynamics Pile Driving Analyzer PDA, Electronic mail software, Email software, Mobile location based services software, Global positioning system GPS software"
47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.","Learn and follow safety regulations.; Take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects.; Start engines, move throttles, switches, or levers, or depress pedals to operate machines, such as bulldozers, trench excavators, road graders, or backhoes.; Coordinate machine actions with other activities, positioning or moving loads in response to hand or audio signals from crew members.; Align machines, cutterheads, or depth gauge makers with reference stakes and guidelines or ground or position equipment, following hand signals of other workers.","Controlling Machines and Processes, Monitoring Processes, Materials, or Surroundings, Operating Vehicles, Mechanized Devices, or Equipment, Getting Information, Making Decisions and Solving Problems","Spreadsheet software, Microsoft Excel, Electronic mail software, Microsoft Outlook, Facilities management software, Maintenance record software, Office suite software, Microsoft Office software, Operating system software, Microsoft Windows","Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties. Key tasks: Learn and follow safety regulations.. Take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects.. Start engines, move throttles, switches, or levers, or depress pedals to operate machines, such as bulldozers, trench excavators, road graders, or backhoes.. Coordinate machine actions with other activities, positioning or moving loads in response to hand or audio signals from crew members.. Align machines, cutterheads, or depth gauge makers with reference stakes and guidelines or ground or position equipment, following hand signals of other workers. Work activities: Controlling Machines and Processes, Monitoring Processes, Materials, or Surroundings, Operating Vehicles, Mechanized Devices, or Equipment, Getting Information, Making Decisions and Solving Problems Technology: Spreadsheet software, Microsoft Excel, Electronic mail software, Microsoft Outlook, Facilities management software, Maintenance record software, Office suite software, Microsoft Office software, Operating system software, Microsoft Windows"
