O*NET-SOC Code,Related O*NET-SOC Code,Relatedness Tier,Index
11-3013.00,11-9021.00,Primary-Short,3
11-3013.00,47-1011.00,Supplemental,14
11-9021.00,17-2051.00,Primary-Short,1
11-9021.00,47-1011.00,Primary-Short,4
11-9021.00,11-9041.00,Primary-Long,8
11-9021.00,11-3013.00,Primary-Long,10
11-9041.00,17-2051.00,Supplemental,14
11-9041.00,11-9021.00,Supplemental,15
17-2051.00,17-2051.01,Primary-Short,2
17-2051.00,11-9021.00,Primary-Short,3
17-2051.00,11-9041.00,Primary-Long,8
17-2051.00,47-1011.00,Supplemental,15
17-2051.00,11-3013.00,Supplemental,20
17-2051.01,17-2051.00,Primary-Short,1
17-2051.01,47-4051.00,Primary-Short,5
17-2051.01,11-9021.00,Primary-Long,7
17-2051.01,11-9041.00,Supplemental,14
47-1011.00,11-9021.00,Primary-Long,10
47-1011.00,47-2111.00,Supplemental,18
47-2031.00,47-2081.00,Primary-Short,1
47-2031.00,47-2221.00,Primary-Short,2
47-2031.00,47-2171.00,Supplemental,14
47-2071.00,47-2073.00,Primary-Short,2
47-2071.00,47-2072.00,Primary-Long,6
47-2071.00,47-4061.00,Primary-Long,7
47-2071.00,47-2151.00,Primary-Long,8
47-2071.00,47-4051.00,Primary-Long,10
47-2072.00,47-2073.00,Primary-Short,1
47-2072.00,47-2071.00,Primary-Short,5
47-2072.00,47-4061.00,Primary-Long,10
47-2072.00,47-2221.00,Supplemental,18
47-2072.00,47-4051.00,Supplemental,19
47-2073.00,47-2071.00,Primary-Long,7
47-2073.00,47-2072.00,Primary-Long,8
47-2073.00,47-4061.00,Supplemental,15
47-2073.00,47-4051.00,Supplemental,16
47-2081.00,47-2031.00,Primary-Short,4
47-2081.00,47-2132.00,Primary-Long,8
47-2081.00,47-2171.00,Primary-Long,10
47-2081.00,47-2221.00,Supplemental,11
47-2111.00,47-2152.00,Primary-Short,3
47-2111.00,47-2221.00,Supplemental,17
47-2111.00,47-2031.00,Supplemental,19
47-2111.00,47-2132.00,Supplemental,20
47-2132.00,47-2081.00,Primary-Short,2
47-2132.00,47-2151.00,Primary-Short,5
47-2132.00,47-2152.00,Primary-Long,10
47-2132.00,47-2221.00,Supplemental,17
47-2151.00,47-2152.00,Primary-Short,1
47-2151.00,47-2132.00,Primary-Long,6
47-2151.00,47-2071.00,Primary-Long,8
47-2151.00,47-2221.00,Primary-Long,9
47-2151.00,47-2081.00,Supplemental,14
47-2151.00,47-2171.00,Supplemental,15
47-2151.00,47-2031.00,Supplemental,17
47-2152.00,47-2151.00,Primary-Short,3
47-2152.00,47-2111.00,Supplemental,11
47-2152.00,47-2221.00,Supplemental,16
47-2152.00,47-2031.00,Supplemental,20
47-2171.00,47-2221.00,Primary-Short,1
47-2171.00,47-2081.00,Primary-Short,3
47-2171.00,47-2031.00,Primary-Long,7
47-2171.00,47-2151.00,Supplemental,14
47-2171.00,47-2132.00,Supplemental,17
47-2221.00,47-2171.00,Primary-Short,1
47-2221.00,47-2031.00,Primary-Short,4
47-2221.00,47-2081.00,Primary-Long,7
47-2221.00,47-2152.00,Supplemental,12
47-2221.00,47-2151.00,Supplemental,20
47-4021.00,47-2221.00,Primary-Long,10
47-4021.00,47-2152.00,Supplemental,18
47-4051.00,47-2073.00,Primary-Short,1
47-4051.00,47-2071.00,Primary-Short,2
47-4051.00,47-4061.00,Primary-Short,3
47-4051.00,47-2072.00,Primary-Short,4
47-4051.00,17-2051.01,Supplemental,12
47-4061.00,47-2071.00,Primary-Short,1
47-4061.00,47-2073.00,Primary-Short,2
47-4061.00,47-2072.00,Primary-Short,4
47-4061.00,47-4051.00,Supplemental,12
47-4061.00,47-2151.00,Supplemental,16
47-4061.00,47-2221.00,Supplemental,18
